file_name,relative_path,source_folder,category,description,media_type,extension,width,height,duration_seconds,size_mb,suggested_use
.trashed-1680442326-VID20230302184050.mp4,media/Archive/Dillon/.trashed-1680442326-VID20230302184050.mp4,media/Archive/Dillon,Histoire du club,Archive ancienne du club; video; archive utile pour la chronologie,video,mp4,1080,1920,25.5,61.44,communication du club
.trashed-1680442376-VID20230302190624.mp4,media/Archive/Dillon/.trashed-1680442376-VID20230302190624.mp4,media/Archive/Dillon,Histoire du club,Archive ancienne du club; video; archive utile pour la chronologie,video,mp4,1080,1920,8.4,20.18,communication du club
.trashed-1680442435-VID20230302192806.mp4,media/Archive/Dillon/.trashed-1680442435-VID20230302192806.mp4,media/Archive/Dillon,Histoire du club,Archive ancienne du club; video; archive utile pour la chronologie,video,mp4,1080,1920,8.4,19.95,communication du club
.trashed-1680473893-lv_0_20230303181545.mp4,media/Archive/Dillon/.trashed-1680473893-lv_0_20230303181545.mp4,media/Archive/Dillon,Histoire du club,Archive ancienne du club; video; archive utile pour la chronologie,video,mp4,1080,1920,58.0,79.62,communication du club
FLAG 2.mp4,media/Archive/Dillon/FLAG 2.mp4,media/Archive/Dillon,Histoire du club,Archive ancienne du club; video; archive utile pour la chronologie,video,mp4,3840,2160,54.9,480.29,communication du club
.trashed-1679257590-VID20230217100334.mp4,media/Archive/StJoseph/.trashed-1679257590-VID20230217100334.mp4,media/Archive/StJoseph,Histoire du club,Archive ancienne du club; video; archive utile pour la chronologie,video,mp4,1080,1920,56.4,135.74,communication du club
lv_0_20230217163802.mp4,media/Archive/StJoseph/lv_0_20230217163802.mp4,media/Archive/StJoseph,Histoire du club,Archive ancienne du club; video; archive utile pour la chronologie,video,mp4,1920,1080,16.8,26.25,communication du club
lv_0_20230217173736.mp4,media/Archive/StJoseph/lv_0_20230217173736.mp4,media/Archive/StJoseph,Histoire du club,Archive ancienne du club; video; archive utile pour la chronologie,video,mp4,1080,1920,29.0,48.28,communication du club
lv_0_20230217174401.mp4,media/Archive/StJoseph/lv_0_20230217174401.mp4,media/Archive/StJoseph,Histoire du club,Archive ancienne du club; video; archive utile pour la chronologie,video,mp4,1920,1080,17.8,28.24,communication du club
lv_0_20230217174526.mp4,media/Archive/StJoseph/lv_0_20230217174526.mp4,media/Archive/StJoseph,Histoire du club,Archive ancienne du club; video; archive utile pour la chronologie,video,mp4,1080,1920,23.8,39.53,communication du club
lv_0_20230217174646.mp4,media/Archive/StJoseph/lv_0_20230217174646.mp4,media/Archive/StJoseph,Histoire du club,Archive ancienne du club; video; archive utile pour la chronologie,video,mp4,1080,1920,31.4,51.63,communication du club
20260308_174159.heic,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/20260308_174159.heic,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; photo; evenement club ou communaute,image,heic,4032,2268,,1.71,histoire; communication du club
2103bf5c-179e-450a-a79a-202635171c65.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/2103bf5c-179e-450a-a79a-202635171c65.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,476,848,10.3,1.35,communication du club
3a0474ac-278b-4a1a-b8d9-99cca1757661.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/3a0474ac-278b-4a1a-b8d9-99cca1757661.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,476,848,7.4,1.00,communication du club
45788e34-94d0-41ff-ac2a-2bf0b1776ee5.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/45788e34-94d0-41ff-ac2a-2bf0b1776ee5.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,476,848,9.9,1.34,communication du club
4cd0db5f-04eb-420d-8368-aef82bd74218.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/4cd0db5f-04eb-420d-8368-aef82bd74218.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,476,848,10.6,1.44,communication du club
517d675f-a512-4dc4-a19d-28035889cb75.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/517d675f-a512-4dc4-a19d-28035889cb75.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,476,848,6.3,0.85,communication du club
5f347f98-2a06-4295-9bd5-91892c868313.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/5f347f98-2a06-4295-9bd5-91892c868313.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,476,848,6.2,0.83,communication du club
672dbb4f-9e49-42f0-9ec9-c36f792924d4.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/672dbb4f-9e49-42f0-9ec9-c36f792924d4.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,478,850,3.3,0.48,communication du club
714d7307-3f00-4b9c-a47e-dd41e4ca018f.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/714d7307-3f00-4b9c-a47e-dd41e4ca018f.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,476,848,8.6,1.15,communication du club
78b47b01-5bf1-4473-b891-3fc45e99cab2.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/78b47b01-5bf1-4473-b891-3fc45e99cab2.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,476,848,15.5,2.09,communication du club
85acd2d0-b322-4ba1-8e42-13c82a512000.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/85acd2d0-b322-4ba1-8e42-13c82a512000.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,476,848,6.7,0.87,communication du club
IMG_20260308_165734.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/IMG_20260308_165734.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; photo; evenement club ou communaute,image,jpg,1080,1920,,1.29,histoire; communication du club
IMG_20260308_165735.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/IMG_20260308_165735.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; photo; evenement club ou communaute,image,jpg,1080,1920,,1.39,histoire; communication du club
IMG_20260308_165738.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/IMG_20260308_165738.jpg,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; photo; evenement club ou communaute,image,jpg,1080,1920,,1.36,histoire; communication du club
